Make,Model,Variant,Price,Displacement,Sales2022,Sales2021,Color,Highest_sales_state,Cylinders,Emission_Norm,Fuel_Tank_Capacity_ltr,Fuel_Type,Body_Type,Doors,Mileage,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Front_Tyre_Rim,Rear_Tyre_Rim,Power_Steering,Power_Windows,Power,Torque,Seating_Capacity,Boot_Space_ltr
Datsun,marooni-Go,1.0 S,390.000 ,999 cc,91.561,33.68,orange,georgia,3,BS IV,28,Petrol,Hatchback,5,,5,185 mm,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,80/155R13,80/155R13,Electric Power,,68PS@5500rpm,91Nm@4250RPM,5,222
Datsun,marooni-Go,1.0 S Amt,437.065 ,999 cc,39.35,35.43,white,california,3,BS IV,28,Petrol,Hatchback,5,,5,185 mm,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,155/80R13,155/80R13,Electric Power,Only Front Windows,68PS@5500rpm,91Nm@4250RPM,5,222
Renault,Kwid,Rxe 0.8,353.290 ,799 cc,27.851,37.78,black,tennessee,3,BS 6,28,Petrol,Hatchback,5,25.17 km/litre,6,184 mm,Ventilated Disc,Drum,Mac Pherson strut with Lower Transverse link coil spring,Twist beam suspension with coil spring,165/70 R14,165/70 R14,,,54PS@5678rpm,72Nm@4386rpm,5,300
Renault,Kwid,Std 0.8,283.290 ,799 cc,83.257,35.91,gray,texas,3,BS 6,28,Petrol,Hatchback,5,25.17 km/litre,5,184 mm,Ventilated Disc,Drum,MacPherson Struts With Lower Transverse Links,Twist beam suspension with coil spring,165/70 R14,165/70 R14,,,54PS@5678rpm,72Nm@4386rpm,5,300
Renault,Kwid,Rxl 0.8,383.290 ,799 cc,63.729,39.78,black,virginia,3,BS 6,28,Petrol,Hatchback,5,25.17 km/litre,5,184 mm,Ventilated Disc,Drum,MacPherson Struts With Lower Transverse Links,Twist beam suspension with coil spring,165/70 R14,165/70 R14,Electric Power,Only Front Windows,54PS@5678rpm,72Nm@4386rpm,5,300
Renault,Kwid,Rxt 0.8,413.290 ,799 cc,15.943,10.81,white,california,3,BS 6,28,Petrol,Hatchback,5,25.17 km/litre,5,184 mm,Ventilated Disc,Drum,MacPherson Struts With Lower Transverse Links,Twist beam suspension with coil spring,165/70 R14,165/70 R14,Electric Power,,54PS@5678rpm,72Nm@4386rpm,5,300
Renault,Kwid,Rxt 1.0,433.290 ,999 cc,9.536,38.43,blue,north carolina,3,BS 6,28,Petrol,Hatchback,5,25.17 km/litre,5,184 mm,Ventilated Disc,Drum,Mac Pherson strut with Lower Transverse link coil spring,Twist beam suspension with coil spring,165/70 R14,165/70 R14,Electric Power,Only Front Windows,68PS@5500rpm,91Nm@4250RPM,5,300
Renault,Kwid,Climber 1.0 Mt,454.490 ,999 cc,11.185,37.7,maroon,tennessee,3,BS 6,28,Petrol,Hatchback,5,25.17 km/litre,5,184 mm,Ventilated Disc,Drum,Mac Pherson strut with Lower Transverse link coil spring,Twist beam suspension with coil spring,165/70 R14,165/70 R14,Electric Power,Only Front Windows,68PS@5500rpm,91Nm@4250RPM,5,300
Renault,Kwid,Rxt Amt 1.0,463.290 ,999 cc,14.785,55.72,white,texas,3,BS 6,28,Petrol,Hatchback,5,25.17 km/litre,,184 mm,Ventilated Disc,Drum,Mac Pherson strut with Lower Transverse link coil spring,Twist beam suspension with coil spring,165/70 R14,165/70 R14,Electric Power,Only Front Windows,68PS@5500rpm,91Nm@4250RPM,5,300
Renault,Kwid,Climber Amt 1.0,484.490 ,999 cc,145.519,126.76,gray,virginia,3,BS 6,28,Petrol,Hatchback,5,25.17 km/litre,,184 mm,Ventilated Disc,Drum,Mac Pherson strut with Lower Transverse link coil spring,Twist beam suspension with coil spring,165/70 R14,165/70 R14,Electric Power,Only Front Windows,68PS@5500rpm,91Nm@4250RPM,5,300
Renault,Kwid,Rxt (O) 1.0,440.990 ,999 cc,135.126,130.51,white,california,3,BS 6,28,Petrol,Hatchback,5,25.17 km/litre,5,184 mm,Ventilated Disc,Drum,Mac Pherson strut with Lower Transverse link coil spring,Twist beam suspension with coil spring,165/70 R14,165/70 R14,Electric Power,Only Front Windows,68PS@5500rpm,91Nm@4250RPM,5,300
Renault,Kwid,Rxt (O) Amt 1.0,470.990 ,999 cc,24.629,33.3,black,north carolina,3,BS 6,28,Petrol,Hatchback,5,25.17 km/litre,5,184 mm,Ventilated Disc,Drum,Mac Pherson strut with Lower Transverse link coil spring,Twist beam suspension with coil spring,165/70 R14,165/70 R14,Electric Power,Only Front Windows,68PS@5500rpm,91Nm@4250RPM,5,300
Renault,Kwid,Climber (O) Mt 1.0,462.190 ,999 cc,42.593,33.4,black,ohio,3,BS 6,28,Petrol,Hatchback,5,25.17 km/litre,5,184 mm,Ventilated Disc,Drum,Mac Pherson strut with Lower Transverse link coil spring,Twist beam suspension with coil spring,165/70 R14,165/70 R14,Electric Power,All Windows,68PS@5500rpm,91Nm@4250RPM,5,300
Renault,Kwid,Climber (O) Amt 1.0,492.190 ,999 cc,26.402,35,blue,texas,3,BS 6,28,Petrol,Hatchback,5,25.17 km/litre,,184 mm,Ventilated Disc,Drum,Mac Pherson strut with Lower Transverse link coil spring,Twist beam suspension with coil spring,165/70 R14,165/70 R14,Electric Power,All Windows,68PS@5500rpm,91Nm@4250RPM,5,300
Maruti Suzuki,Eeco,5 Str,352.136 ,1196 cc,17.947,32.1,silver,virginia,4,BS 6,40,Petrol,MPV,5,12 km/litre,5,160 mm,Ventilated Disc,Drum,McPherson struts,3 Link Rigid,155 R13 LT,155 R13 LT,,,73PS@6000rpm,101Nm@3000rpm,5,400
Maruti Suzuki,Eeco,7 Str,380.573 ,1196 cc,32.299,23.98,silver,california,4,BS 6,40,Petrol,MPV,5,12 km/litre,5,160 mm,Ventilated Disc,Drum,McPherson struts,3 Link Rigid,155 R13 LT,155 R13 LT,,,74PS@6000RPM,101Nm@3000rpm,7,250
Maruti Suzuki,Eeco,5 Str With Ac+Htr,392.967 ,1196 cc,21.855,18.95,blue,north carolina,4,BS 6,40,Petrol,MPV,5,11 km/litre,5,160 mm,Ventilated Disc,Drum,McPherson struts,3 Link Rigid,155 R13 LT,155 R13 LT,,,73PS@6000rpm,101Nm@3000rpm,5,400
Maruti Suzuki,Eeco,5 Str With Ac+Htr Cng,466.057 ,1196 cc,107.995,133.89,caramel,ohio,4,BS 6,40,CNG,MPV,5,,5,160 mm,Ventilated Disc,Drum,McPherson Strut,3 Link Rigid,155 R13 LT,155 R13 LT,,,62PS@6000rpm,85Nm@3000rpm,5,400
Maruti Suzuki,Eeco,5 Str With Htr Cng,425.255 ,1196 cc,7.854,29.67,white,texas,4,BS 6,40,CNG,MPV,5,,5,160 mm,Ventilated Disc,Drum,McPherson struts,3 Link Rigid,155 R13 LT,155 R13 LT,,,62PS@6000rpm,85Nm@3000rpm,5,400
Maruti Suzuki,Alto K10,Lxi,377.588 ,998 cc,32.775,33.32,white,tennessee,3,BS IV,35,Petrol,Hatchback,5,14 km/litre,5,160 mm,Ventilated Disc,Drum,Gas Filled Mc Pherson Strut,3-link rigid axle Suspension,155/65R13,155/65R13,Yes,,68PS@6000rpm,90Nm@3500rpm,5,177
Maruti Suzuki,Alto K10,Vxi,394.036 ,998 cc,31.148,34.52,silver,california,3,BS IV,35,Petrol,Hatchback,5,14 km/litre,5,160 mm,Ventilated Disc,Drum,Gas Filled Mc Pherson Strut,3-link rigid axle Suspension,155/65R13,155/65R13,Yes,Only Front Windows,68PS@6200rpm,90Nm@3500rpm,5,177
Maruti Suzuki,Alto K10,Lx,360.843 ,998 cc,32.306,29.11,gray,new york,3,BS IV,35,Petrol,Hatchback,5,19 km/litre,5,160 mm,Ventilated Disc,Drum,Gas Filled Mc Pherson Strut,3-link rigid axle Suspension,155/65R13,155/65R13,,,68PS@6000rpm,90Nm@3500rpm,5,177
Maruti Suzuki,Alto K10,Vxi (O),407.238 ,998 cc,13.462,35.64,maroon,pennsylvania,3,BS IV,35,Petrol,Hatchback,5,14 km/litre,5,160 mm,Ventilated Disc,Drum,Gas Filled Mc Pherson Strut,3-link rigid axle Suspension,155/65R13,155/65R13,Yes,Only Front Windows,68PS@6000rpm,90Nm@3500rpm,5,177
Maruti Suzuki,Alto K10,Lxi Cng (O),439.777 ,998 cc,53.48,50,darkgreen,texas,3,BS IV,35,CNG,Hatchback,5,,5,160 mm,Ventilated Disc,Drum,Gas Filled Mc Pherson Strut,3-link rigid axle Suspension,155/65R13,155/65R13,Yes,,59PS@6000rpm,78Nm@3500rpm,5,177
Maruti Suzuki,Alto K10,Vxi Amt (O),438.559 ,998 cc,30.696,35.67,gray,virginia,3,BS IV,35,Petrol,Hatchback,5,14 km/litre,5,160 mm,Ventilated Disc,Drum,Gas Filled Mc Pherson Strut,3-link rigid axle Suspension,155/65R13,155/65R13,Yes,Only Front Windows,68PS@6000rpm,90Nm@3500rpm,5,177
Datsun,Go,D,374.990 ,1198 cc,76.034,25.67,black,california,3,BS IV,35,Petrol,Hatchback,5,,5,180 mm,Ventilated Disc,Drum,MacPherson Strut with anti-roll bar,H-type Torsion Beam,155/70R13,155/70R13,,Only Front Windows,68PS@5000rpm,104Nm@4000rpm,5,265
Datsun,Go,T,468.229 ,1198 cc,4.734,28.79,white,new york,3,BS IV,35,Petrol,Hatchback,5,,5,180 mm,Ventilated Disc,Drum,MacPherson Strut with anti-roll bar,H-type Torsion Beam,155/70R13,155/70R13,Electric Power,All Windows,68PS@5000rpm,104Nm@4000rpm,5,265
Datsun,Go,T (O),502.492 ,1198 cc,71.186,30.58,white,tennessee,3,BS IV,35,Petrol,Hatchback,5,20.6 km/litre,5,180 mm,Ventilated Disc,Drum,MacPherson Strut with anti-roll bar,H-type Torsion Beam,155/70R13,155/70R13,Electric Power,All Windows,68PS@5000rpm,104Nm@4000rpm,5,265
Datsun,Go,A (O),499.990 ,1198 cc,88.028,34.89,caramel,texas,3,BS IV,35,Petrol,Hatchback,5,20.6 km/litre,5,180 mm,Ventilated Disc,Drum,MacPherson Strut with anti-roll bar,H-type Torsion Beam,155/70R13,155/70R13,Electric Power,All Windows,68PS@5000rpm,104Nm@4000rpm,5,265
Datsun,Go,A,469.990 ,1198 cc,20.916,33.75,white,tennessee,3,BS IV,35,Petrol,Hatchback,5,20.6 km/litre,5,180 mm,Ventilated Disc,Drum,MacPherson Strut with anti-roll bar,H-type Torsion Beam,155/70R13,155/70R13,Electric Power,Only Front Windows,68PS@5000rpm,104Nm@4000rpm,5,265
Datsun,Go,T Vdc,528.464 ,1198 cc,227.061,144.7,white,california,3,BS IV,35,Petrol,Hatchback,5,,5,180 mm,Ventilated Disc,Drum,MacPherson Strut with anti-roll bar,H-type Torsion Beam,155/70R13,155/70R13,Electric Power,All Windows,68PS@5000rpm,104Nm@4000rpm,5,265
Datsun,Go,T (O) Vdc,553.015 ,1198 cc,16.767,42.45,white,new york,3,BS IV,35,Petrol,Hatchback,5,20.6 km/litre,5,180 mm,Ventilated Disc,Drum,MacPherson Strut with anti-roll bar,H-type Torsion Beam,155/70R13,155/70R13,Electric Power,All Windows,68PS@5000rpm,104Nm@4000rpm,5,265
Datsun,Go,T Cvt,594.464 ,1198 cc,31.038,42.98,maroon,tennessee,3,BS IV,35,Petrol,Hatchback,5,,5,180 mm,Ventilated Disc,Drum,MacPherson Strut with anti-roll bar,H-type Torsion Beam,155/70R13,155/70R13,Electric Power,All Windows,78PS@5000rpm,104Nm@4000rpm,5,265
Datsun,Go,T (O) Cvt,618.015 ,1198 cc,111.313,35.57,maroon,texas,3,BS IV,35,Petrol,Hatchback,5,20.6 km/litre,5,180 mm,Ventilated Disc,Drum,MacPherson Strut with anti-roll bar,H-type Torsion Beam,155/70R13,155/70R13,Electric Power,All Windows,78PS@5000rpm,104Nm@4000rpm,5,265
Maruti Suzuki,Celerio Tour,H2,422.444 ,998 cc,101.323,43.94,black,pennsylvania,3,BS IV,35,Petrol,Hatchback,5,23 km/litre,5,165 mm,Ventilated Disc,Drum,Macpherson strut with Coil Spring,Coupled Torsion Beam Axle with coil spring,155/80R13,155/80R13,Electric Power,,68PS@6000rpm,90Nm@3500rpm,5,235
Maruti Suzuki,Celerio Tour,H2 Cng,480.670 ,998 cc,181.749,35.33,black,california,3,BS IV,60,CNG,Hatchback,5,,5,165 mm,Ventilated Disc,Drum,Macpherson strut with Coil Spring,Coupled Torsion Beam Axle with coil spring,165/70R14,165/70R14,Electric Power,All Windows,59bhp@6000rpm,78Nm@3500rpm,5,235
Hyundai,Santro,Era Mt,429.990 ,1086 cc,70.227,24.68,maroon,north carolina,4,BS IV,35,Petrol,Hatchback,4,,5,,,,,,,,Electric Power,Only Front Windows,69PS@5500rpm,99.04nm@4500RPM,5,
Hyundai,Santro,Magna Mt,503.990 ,1086 cc,113.369,132.03,white,tennessee,4,BS IV,35,Petrol,Hatchback,4,,5,,,,,,,,Electric Power,All Windows,69PS@5500rpm,99.04nm@4500RPM,5,
Hyundai,Santro,Magna Mt Cng,547.990 ,1086 cc,35.068,27.69,gray,texas,4,BS IV,35,CNG,Hatchback,4,,5,,,,,,,,Electric Power,All Windows,59PS@5500RPM,99.04nm@4500RPM,5,
Hyundai,Santro,Magna Amt,530.990 ,1086 cc,245.815,233.68,black,pennsylvania,4,BS IV,35,Petrol,Hatchback,4,,5,,Solid Disc,Drum,Mc Pherson Strut,Coupled Torsion Beam Axle,155/80 R13,155/80 R13,Electric Power,All Windows,69PS@5500rpm,10.1kgm@4500RPM,5,
Hyundai,Santro,Sportz Mt,512.990 ,1086 cc,175.67,125.64,maroon,california,4,BS IV,35,Petrol,Hatchback,4,,5,,Solid Disc,Drum,MacPherson Strut,Coupled Torsion Beam Axle,165/70 R14,165/70 R14,Electric Power,All Windows,69PS@5500rpm,10.1kgm@4500RPM,5,
Hyundai,Santro,Sportz Mt Cng,578.990 ,1086 cc,63.403,39.08,silver,north carolina,4,BS IV,60,CNG,Hatchback,4,,5,,Solid Disc,Drum,McPherson Strut,Coupled Torsion Beam Axle,165/70 R14,165/70 R14,Electric Power,All Windows,59PS@5500RPM,8.3KGM@4500rpm,5,
Hyundai,Santro,Sportz Amt,570.990 ,1086 cc,276.747,38.76,caramel,tennessee,4,BS IV,35,Petrol,Hatchback,4,,5,,Solid Disc,Drum,Mc Pherson Struct,Coupled Torsion Beam Axle,165/70 R14,165/70 R14,Electric Power,All Windows,69PS@5500rpm,10.1kgm@4500RPM,5,
Hyundai,Santro,Asta Mt,556.490 ,1086 cc,155.787,37.61,gray,texas,4,BS IV,35,Petrol,Hatchback,4,,5,,,,,,,,Electric Power,All Windows,69PS@5500rpm,99.04nm@4500RPM,5,
Tata,Tiago,Revotron Xe,460.000 ,1199 cc,125.338,48.08,gray,south carolina,3,BS 6,35,Petrol,Hatchback,5,,5,,Ventilated Disc,Drum,Independent Lower Wishbone Mcpherson Strut with coil spring,Semi-Independent; Twist beam with dual path strut,155/80 R13,155/80 R13,Electric Power,,86PS@6000rpm,114NM@3300rpm,5,
Tata,Tiago,Revotron Xt,520.000 ,1199 cc,220.65,30.86,silver,california,3,BS 6,35,Petrol,Hatchback,5,23.84 km/litre,5,170 mm,Ventilated Disc,Drum,Independent Lower Wishbone Mcpherson Strut with coil spring,Semi-Independent; Twist beam with dual path strut,175/65 R14,175/65 R14,Electric Power,All Windows,86PS@6000rpm,114NM@3300rpm,5,242
Tata,Tiago,Revotron Xz,570.000 ,1199 cc,540.561,442.41,purple,north carolina,3,BS 6,35,Petrol,Hatchback,5,23.84 km/litre,5,170 mm,Ventilated Disc,Drum,Independent Lower Wishbone Mcpherson Strut with coil spring,Semi-Independent; Twist beam with dual path strut,175/65 R14,175/65 R14,Electric Power,All Windows,86PS@6000rpm,114NM@3300rpm,5,242
Tata,Tiago,Revotron Xz Plus,599.000 ,1199 cc,199.685,123.39,silver,florida,3,BS 6,35,Petrol,Hatchback,5,23.84 km/litre,5,170 mm,Ventilated Disc,Drum,Independent Lower Wishbone Mcpherson Strut with coil spring,Semi-Independent; Twist beam with dual path strut,175/65 R14,175/65 R14,Electric Power,All Windows,86PS@6000rpm,114NM@3300rpm,5,242
Tata,Tiago,Revotron Xz Plus Dual Tone,610.000 ,1199 cc,230.902,290.32,white,ohio,3,BS 6,35,Petrol,Hatchback,5,23.84 km/litre,5,170 mm,Ventilated Disc,Drum,Independent Lower Wishbone Mcpherson Strut with coil spring,Semi-Independent; Twist beam with dual path strut,175/65 R14,175/65 R14,Electric Power,All Windows,86PS@6000rpm,114NM@3300rpm,5,242
Tata,Tiago,Revotron Xza,620.000 ,1199 cc,73.203,32.19,gray,south carolina,3,BS 6,35,Petrol,Hatchback,5,23.84 km/litre,5,170 mm,Solid Disc,Drum,Independent Lower Wishbone McPherson Strut with coil Spring,Rear Twist beam with coil spring mounted on hydraulic shock absorbers,175 / 65 R14,175 / 65 R14,Electric Power,All Windows,86PS@6000rpm,114NM@3300rpm,5,240
Tata,Tiago,Revotron Xza Plus,649.000 ,1199 cc,12.855,38.57,white,california,3,BS 6,35,Petrol,Hatchback,5,23.84 km/litre,5,170 mm,Solid Disc,Drum,Independent Lower Wishbone McPherson Strut with coil Spring,Rear Twist beam with coil spring mounted on hydraulic shock absorbers,175/60 R15,175/60 R15,Electric Power,All Windows,86PS@6000rpm,114NM@3300rpm,5,240
Tata,Tiago,Revotron Xza Plus Dual Tone,660.000 ,1199 cc,76.029,42.88,white,north carolina,3,BS 6,35,Petrol,Hatchback,5,23.84 km/litre,5,170 mm,Solid Disc,Drum,Independent Lower Wishbone McPherson Strut with coil Spring,Rear Twist beam with coil spring mounted on hydraulic shock absorbers,,175/60 R15,Electric Power,All Windows,86PS@6000rpm,114NM@3300rpm,5,240
Maruti Suzuki,Celerio X,Vxi (O),481.074 ,998 cc,41.184,22.4,black,florida,3,BS IV,35,Petrol,Hatchback,5,23 km/litre,5,165 mm,Ventilated Disc,Drum,Macpherson strut with Coil Spring,Coupled Torsion Beam Axle with coil spring,165/70R14,165/70R14,Electric Power,All Windows,68PS@6000rpm,90Nm@3500rpm,5,235
Maruti Suzuki,Celerio X,Vxi,475.198 ,998 cc,66.692,26.26,black,texas,3,BS IV,35,Petrol,Hatchback,5,23 km/litre,5,165 mm,Ventilated Disc,Drum,Macpherson strut with Coil Spring,Coupled Torsion Beam Axle with coil spring,165/70R14,165/70R14,Electric Power,All Windows,68PS@6000rpm,90Nm@3500rpm,5,235
Maruti Suzuki,Celerio X,Vxi Amt,518.198 ,998 cc,29.45,30.72,maroon,south carolina,3,BS IV,35,Petrol,Hatchback,5,23 km/litre,5,165 mm,Ventilated Disc,Drum,Macpherson strut with Coil Spring,Coupled Torsion Beam Axle with coil spring,165/70R14,165/70R14,Electric Power,All Windows,68PS@6000rpm,90Nm@3500rpm,5,235
Maruti Suzuki,Celerio X,Vxi Amt (O),524.074 ,998 cc,23.713,33.42,silver,california,3,BS IV,35,Petrol,Hatchback,5,23 km/litre,5,165 mm,Ventilated Disc,Drum,Macpherson strut with Coil Spring,Coupled Torsion Beam Axle with coil spring,165/70R14,165/70R14,Electric Power,All Windows,68PS@6000rpm,90Nm@3500rpm,5,235
Maruti Suzuki,Celerio X,Zxi,499.734 ,998 cc,15.467,36.5,silver,north carolina,3,BS IV,35,Petrol,Hatchback,5,23 km/litre,5,165 mm,Ventilated Disc,Drum,Macpherson strut with Coil Spring,Coupled Torsion Beam Axle with coil spring,165/70R14,165/70R14,Electric Power,All Windows,68PS@6000rpm,90Nm@3500rpm,5,235
Maruti Suzuki,Celerio X,Zxi (O),540.350 ,998 cc,55.557,30.45,white,florida,3,BS IV,35,Petrol,Hatchback,5,23 km/litre,5,165 mm,Ventilated Disc,Drum,Macpherson strut with Coil Spring,Coupled Torsion Beam Axle with coil spring,165/70R14,165/70R14,Electric Power,All Windows,68PS@6000rpm,90Nm@3500rpm,5,235
Maruti Suzuki,Celerio X,Zxi Amt,542.735 ,998 cc,80.556,31.94,silver,texas,3,BS IV,35,Petrol,Hatchback,5,23 km/litre,5,165 mm,Ventilated Disc,Drum,Macpherson strut with Coil Spring,Coupled Torsion Beam Axle with coil spring,165/70R14,165/70R14,Electric Power,All Windows,68PS@6000rpm,90Nm@3500rpm,5,235
Maruti Suzuki,Celerio X,Zxi Amt (O),552.350 ,998 cc,157.04,38.8,gray,south carolina,3,BS IV,35,Petrol,Hatchback,5,23 km/litre,5,165 mm,Ventilated Disc,Drum,Macpherson strut with Coil Spring,Coupled Torsion Beam Axle with coil spring,165/70R14,165/70R14,Electric Power,All Windows,68PS@6000rpm,90Nm@3500rpm,5,235
Maruti Suzuki,Ignis,Alpha 1.2 Amt,713.898 ,1197 cc,24.072,33.73,black,california,4,BS IV,32,Petrol,Hatchback,5,20.89 km/litre,,180 mm,Ventilated Disc,Drum,McPherson Strut,Torsion Beam,175/65R 15,175/65R 15,Electric Power,All Windows,83PS@6000rpm,113Nm@4200RPM,5,260
Maruti Suzuki,Ignis,Alpha 1.2 Mt,666.898 ,1197 cc,12.698,36.38,purple,north carolina,4,BS IV,32,Petrol,Hatchback,5,20.89 km/litre,,180 mm,Ventilated Disc,Drum,McPherson Strut,Torsion Beam,175/65R 15,175/65R 15,Electric Power,All Windows,83PS@6000rpm,113Nm@4200RPM,5,260
Maruti Suzuki,Ignis,Delta 1.2 Amt,607.841 ,1197 cc,8.901,36.93,black,tennessee,4,BS IV,32,Petrol,Hatchback,5,20.89 km/litre,5,180 mm,Ventilated Disc,Drum,McPherson Strut,Torsion Beam,175/65R 15,175/65R 15,Electric Power,All Windows,83PS@6000rpm,113Nm@4200RPM,5,260
Maruti Suzuki,Ignis,Delta 1.2 Mt,560.841 ,1197 cc,6.375,38.9,black,texas,4,BS IV,32,Petrol,Hatchback,5,20.89 km/litre,5,180 mm,Ventilated Disc,Drum,McPherson Strut,Torsion Beam,175/65R 15,175/65R 15,Electric Power,All Windows,83PS@6000rpm,113Nm@4200RPM,5,260
Maruti Suzuki,Ignis,Sigma 1.2 Mt,483.320 ,1197 cc,9.126,54.01,gray,south carolina,4,BS IV,32,Petrol,Hatchback,5,20.89 km/litre,,180 mm,Ventilated Disc,Drum,McPherson Strut,Torsion Beam,175/65R 15,175/65R 15,Electric Power,Only Front Windows,83PS@6000rpm,113Nm@4200RPM,5,260
Maruti Suzuki,Ignis,Zeta 1.2 Amt,630.320 ,1197 cc,51.238,39,maroon,california,4,BS IV,32,Petrol,Hatchback,5,15.1 km/litre,,180 mm,Ventilated Disc,Drum,McPherson Strut,Torsion Beam,175/65R 15,175/65R 15,Electric Power,All Windows,83PS@6000rpm,113Nm@4200RPM,5,260
Maruti Suzuki,Ignis,Zeta 1.2 Mt,583.320 ,1197 cc,13.798,38.68,maroon,north carolina,4,BS IV,32,Petrol,Hatchback,5,20.89 km/litre,,180 mm,Ventilated Disc,Drum,McPherson Strut,Torsion Beam,175/65R 15,175/65R 15,Electric Power,All Windows,83PS@6000rpm,113Nm@4200RPM,5,260
Renault,Triber,Rxe,495.000 ,999 cc,48.911,41.21,white,florida,3,BS 6,40,Petrol,MUV,5,,5,182 mm,Ventilated Disc,Drum,McPherson Strut,Torison Beam,185/65 R14,185/65 R14,Electric Power,Only Front Windows,72PS@62050rpm,96Nm@3500rpm,7,625
Renault,Triber,Rxl,559.000 ,999 cc,22.925,53.93,black,texas,3,BS 6,40,Petrol,MUV,5,,5,182 mm,Ventilated Disc,Drum,McPherson Strut,Torison Beam,185/65 R14,185/65 R14,Electric Power,Only Front Windows,72PS@62050rpm,96Nm@3500rpm,7,625
